time,edge,density,speed,waiting,mode,congestion
16,N5_N2,0,13.9,0.0,0,0
16,N5_N4,0,13.9,0.0,0,0
16,N5_N6,0,13.9,0.0,0,0
16,N5_N8,0,13.9,0.0,0,0
16,N6_N3,0,13.9,0.0,0,0
16,N6_N5,0,13.9,0.0,0,0
16,N6_N9,0,13.9,0.0,0,0
16,N7_N4,0,13.9,0.0,0,0
16,N7_N8,0,13.9,0.0,0,0
16,N8_N5,0,13.9,0.0,0,0
16,N8_N7,0,13.9,0.0,0,0
16,N8_N9,0,13.9,0.0,0,0
16,N9_N6,0,13.9,0.0,0,0
16,N9_N8,0,13.9,0.0,0,0
17,N1_N2,5,10.998772593852323,0.0,0,0
17,N1_N4,6,10.928631855785389,0.0,0,0
17,N2_N1,0,13.9,0.0,0,0
17,N2_N3,0,13.9,0.0,0,0
17,N2_N5,0,13.9,0.0,0,0
17,N3_N2,0,13.9,0.0,0,0
17,N3_N6,6,11.36099118707452,0.0,0,0
17,N4_N1,0,13.9,0.0,0,0
17,N4_N5,0,13.9,0.0,0,0
17,N4_N7,0,13.9,0.0,0,0
17,N5_N2,0,13.9,0.0,0,0
17,N5_N4,0,13.9,0.0,0,0
17,N5_N6,0,13.9,0.0,0,0
17,N5_N8,0,13.9,0.0,0,0
17,N6_N3,0,13.9,0.0,0,0
17,N6_N5,0,13.9,0.0,0,0
17,N6_N9,0,13.9,0.0,0,0
17,N7_N4,0,13.9,0.0,0,0
17,N7_N8,1,6.95,0.0,0,0
17,N8_N5,0,13.9,0.0,0,0
17,N8_N7,0,13.9,0.0,0,0
17,N8_N9,0,13.9,0.0,0,0
17,N9_N6,0,13.9,0.0,0,0
17,N9_N8,0,13.9,0.0,0,0
18,N1_N2,5,11.69598590521933,0.0,0,0
18,N1_N4,7,9.912562744345564,0.0,0,0
18,N2_N1,0,13.9,0.0,0,0
18,N2_N3,0,13.9,0.0,0,0
18,N2_N5,0,13.9,0.0,0,0
18,N3_N2,0,13.9,0.0,0,0
18,N3_N6,6,12.13464093844955,0.0,0,0
18,N4_N1,0,13.9,0.0,0,0
18,N4_N5,0,13.9,0.0,0,0
18,N4_N7,0,13.9,0.0,0,0
18,N5_N2,0,13.9,0.0,0,0
18,N5_N4,0,13.9,0.0,0,0
18,N5_N6,0,13.9,0.0,0,0
18,N5_N8,0,13.9,0.0,0,0
18,N6_N3,0,13.9,0.0,0,0
